,First Name,Last Name,ID No.,Phone Number,_1,_2,Longitude,Latitude,_3,_4,_5,_6,_7,_8,Location Name
0,Caldas,Cheruyot,32656102,748235794,8762,0,39.488307,-3.945183,117406,66,1,1355215272,1464735873,0,"Msangatifu, Mwavumbo ward, Kinango, Kwale, Coastal Kenya, Kenya"
1,Mark,Kipruto,28853731,708494710,8792,0,38.87580872,-3.631668091,1000,1,1,1355198233,1355198233,0,"Mombasa Road, Mackinnon Road, Mackinon Road ward, Voi, Kwale, Coastal Kenya, Kenya"
2,Kazexa,Xile,32064480,726306043,8654,0,39.06257629,-3.741531372,1000,1,1,1355202564,1355202564,0,"Mombasa Road, Mackinnon Road, Mackinon Road ward, Kinango, Kwale, Coastal Kenya, Kenya"
3,Je,Xopugy,28339282,761088581,8802,0,39.11613464,-3.747024536,1000,1,1,1355202928,1355202928,0,"Mombasa Road, Mackinon Road ward, Kinango, Kwale, Coastal Kenya, Kenya"
4,Hoguhu,Dekihu,24416665,758521358,8812,0,39.19578552,-3.768997192,1000,1,1,1355203849,1355203849,0,"Mombasa Road, Samburu/Chengoni ward, Kinango, Kwale, Coastal Kenya, Kenya"
5,Lono,Bavoba,21217392,774039572,10155,0,39.43885803,-3.836288452,1000,1,1,1355205794,1355205794,0,"Mariakani ward, Kaloleni, Kilifi County, Coastal Kenya, Kenya"
6,Kyco,Jefy,28518429,707619836,8435,0,39.50065613,-3.891220093,1000,1,1,1355206637,1355206637,0,"Lukongo, Mariakani ward, Kaloleni, Kilifi County, Coastal Kenya, Kenya"
7,Mejaki,Be,32299135,702517941,9386,0,39.549595,-3.967375,1613,11,1,1355227488,1464735873,0,"Mombasa Road, Rabai/Kisurutini ward, Rabai, Kilifi County, Coastal Kenya, Kenya"
8,Bijici,Laciry,38858952,748898995,11066,0,39.6269989,-4.027175903,1000,6,1,1355228929,1470733259,0,"Airport Road, Chaani ward, Mombasa, Changamwe, Mombasa County, Coastal Kenya, 80102, Kenya"
9,Puti,Kenyki,28960934,761988571,9075,0,39.632394,-4.041595,2251,14,1,1355393842,1488528669,0,"Kipevu Road, Kipevu ward, Mombasa, Changamwe, Mombasa County, Coastal Kenya, 80100, Kenya"
10,Mikiqo,Pomoqo,28597745,798485836,11224,0,39.648972,-4.050751,1000,6,1,1355397395,1485298061,0,"Port Kilindini Road, Ganjoni/Shimanzi ward, Mombasa, Shimanzi, Mombasa, Mvita, Mombasa County, Coast, 80104, Kenya"
11,Sunewa,Sedyve,37330174,736944464,11061,0,39.629323,-4.02781,1000,13,1,1355399220,1489480404,0,"Magongo Road, Changamwe ward, Mombasa, Changamwe, Mombasa County, Coastal Kenya, 80102, Kenya"
12,Rexawu,Mapuvu,30994518,796335509,9326,0,39.623795,-4.030151,1000,6,1,1355477104,1470733252,0,"Airport Road, Chaani ward, Mombasa, Changamwe, Mombasa County, Coastal Kenya, 80102, Kenya"
