First Name,Last Name,ID No.,Phone Number,Unnamed: 4,Unnamed: 5,Unnamed: 6,Longitude,Latitude,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Location Name
Caldas,Cheruyot,32656102,735674110,3000,25301,0,39.33998108,-3.793716431,1000,1,1,1360398451,1360398451,"Mombasa Road, Bamba ward, Ganze, Kilifi County, Kenya"
Mark,Kipruto,28853731,785229721,2020,11860,0,37.81974792,-2.280349731,1000,1,1,1360400466,1360400466,"Makindu, Kibwezi West, Makueni, Eastern, Kenya"
Kazexa,Xile,32064480,730277461,2016,8352,0,38.518753,-3.412422,3645,20,1,1360430361,1490750473,"Voi, 80300, Kenya"
Je,Xopugy,28339282,768351462,107,64091,0,37.504807,-2.09816,1000,3,1,1360470100,1361490129,"Mombasa Road, Kenyawa-Poka ward, Kajiado East, Rift Valley, Kenya"
Hoguhu,Dekihu,24416665,758813924,4001,12332,0,36.964782,-1.436145,1936,67,1,1360480354,1487379132,"Bamburi Road, Matathani ward, Mavoko, Machakos County, Eastern, Kenya"
Lono,Bavoba,21217392,799474670,27,3631,0,36.89552307,-1.295700073,1000,1,1,1360465359,1360465359,"Savannah Road, GREENFIELDS ESTATE, Lower Savannah ward, Embakasi, Nairobi, Nairobi County, Nairobi, 00515, Kenya"
Kyco,Jefy,28518429,783049256,4064,4750,0,36.895523,-1.296387,1000,2,1,1360485584,1364787715,"Savannah Road, GREENFIELDS ESTATE, Lower Savannah ward, Embakasi, Nairobi, Nairobi County, Nairobi, 00515, Kenya"
Mejaki,Be,32299135,773440693,27,6160,0,36.893463,-1.297073,1000,2,1,1360485892,1364791206,"GREENFIELDS ESTATE, Lower Savannah ward, Embakasi, Nairobi, Nairobi County, Nairobi, 00515, Kenya"
Bijici,Laciry,38858952,757736494,27,6162,0,36.89002991,-1.299819946,1000,1,1,1360466144,1360466144,"Bansora Court, Donholm, Lower Savannah ward, Embakasi, Nairobi, Nairobi County, Nairobi, 00515, Kenya"
Puti,Kenyki,28960934,725354860,20,5202,0,36.850204,-1.310532,1000,5,1,1360564029,1408433793,"Mukuru Kayaba Village, Landimawe ward, Nairobi, Starehe, Nairobi County, Nairobi, 00507, Kenya"
Mikiqo,Pomoqo,28597745,767988288,4065,114,0,36.884079,-1.331406,1000,3,1,1360583530,1376981454,"Prabhu Supplies, Mombasa Road, South C ward, Lang'ata, Nairobi, Nairobi County, Nairobi, 00501, Kenya"
Sunewa,Sedyve,37330174,706324633,26,5915,0,36.861191,-1.31813,1000,3,1,1360591728,1361159497,"East African Sea Foods, Enterprise Road, Imara Daima, Imara Daima ward, Nairobi South ward, Nairobi, Starehe, Nairobi County, Nairobi, 00507, Kenya"
Rexawu,Mapuvu,30994518,757836492,26,122,0,36.857071,-1.312866,1000,4,1,1360591728,1408433793,"Migwani Road, Viwandani, Viwandani ward, Makadara subcounty, Nairobi, Nairobi County, Nairobi, 00507, Kenya"
Zuhibu,Vulavo,25334742,746463426,4000,12596,0,36.932419,-1.386612,5916,15,1,1360599187,1478752659,"Old Mombasa Road, Mlolongo, Syokimau-Mulolongo ward, Mavoko, Machakos County, Eastern, 00519, Kenya"
Cykase,Neso,30494072,777917080,7000,15143,0,37.93647766,-2.409439087,1000,1,1,1360609600,1360609600,"Mombasa Road, Thange, Kibwezi West, Makueni, Eastern, Kenya"
Loju,Faga,25222664,795210606,2016,8702,0,38.536835,-3.405762,1557,12,1,1360647978,1486632459,"Voi, 80300, Kenya"
Bafu,Magijo,37428148,749707957,2016,8355,0,38.559468,-3.400639,2161,15,1,1360648303,1545002045,"Voi, 80300, Kenya"
Bipupa,Guzozi,38703549,713839399,2015,9382,0,39.549179,-3.969498,1000,3,1,1360659594,1464735873,"Mombasa Road, Mazeras, Rabai/Kisurutini ward, Rabai, Kilifi County, Coast, Kenya"
Hezy,Vuqu,29587400,707352143,2015,9642,0,39.566059,-3.9925,2468,8,1,1360659594,1474253304,"Mombasa Road, Mazeras, Rabai/Kisurutini ward, Rabai, Kilifi County, Coast, Kenya"
Dekucu,Qyquja,24540996,755515792,2015,11242,0,39.581222,-4.001541,3592,9,1,1360659646,1477446554,"Jomvu Kuu ward, Jomvu, Mombasa County, Coast, Kenya"
Wecusy,Lysomu,34930621,776075034,2026,9092,0,39.622879,-4.023399,1000,4,1,1360660905,1477446554,"Changamwe ward, Mombasa, Changamwe, Mombasa County, Coast, 80102, Kenya"
Xivysa,Mumuhe,33945360,790932957,4065,8561,0,36.89209,-1.313553,1618,2,1,1360672250,1361154130,"Pipeline, Pipeline ward, Embakasi, Nairobi, Nairobi County, Nairobi, 00501, Kenya"
Dega,Vidyqi,24408763,780953363,3000,25261,0,39.06806946,-3.744277954,1000,1,1,1360720186,1360720186,"Mombasa Road, Mackinnon Road, Mackinon Road ward, Kinango, Kwale, Kenya"
Luveny,Heqejy,23247958,708106445,26,7711,0,36.870804,-1.327744,1000,3,1,1360862684,1364356524,"General Motors East Africa Limited, Enterprise Road, Imara Daima, Imara Daima ward, Embakasi, Nairobi, Nairobi County, Nairobi, 00501, Kenya"
Joliqu,Dowu,20084002,798806839,2009,11152,0,39.644498,-4.037299,3150,35,1,1360926032,1471398578,"Kismayu Road, Ganjoni/Shimanzi ward, Mombasa, Shimanzi, Mombasa, Mvita, Mombasa County, Coast, 80112, Kenya"
Hylyky,Kyje,32441201,721271233,2009,8912,0,39.634933,-4.040909,1142,9,1,1360926058,1488528669,"Kipevu Road, Kipevu ward, Mombasa, Changamwe, Mombasa County, Coast, 80100, Kenya"
Tyhilu,Togida,21469006,773357964,2009,8910,0,39.643021,-4.038963,1325,24,1,1360941235,1489480404,"Fire Brigade Station, Port Kilindini Road, Ganjoni/Shimanzi ward, Mombasa, Shimanzi, Mombasa, Mvita, Mombasa County, Coast, 80112, Kenya"
Ragyje,Racisu,31581809,763026919,2012,9070,0,39.633453,-4.032806,1000,10,1,1360941279,1484204971,"Kipevu ward, Mombasa, Changamwe, Mombasa County, Coast, 80102, Kenya"
